Date,Cases
2020-03-06,2
2020-03-07,0
2020-03-08,1
2020-03-09,0
2020-03-10,1
2020-03-11,2
2020-03-12,8
2020-03-13,15
2020-03-14,0
2020-03-15,21
2020-03-16,12
2020-03-17,36
2020-03-18,59
2020-03-19,40
2020-03-20,55
2020-03-21,82
2020-03-22,111
2020-03-23,94
2020-03-24,138
2020-03-25,224
2020-03-26,257
2020-03-27,342
2020-03-28,441
2020-03-29,542
2020-03-30,354
2020-03-31,505
2020-04-01,421
2020-04-02,603
2020-04-03,595
2020-04-04,693
2020-04-05,377
2020-04-06,714
2020-04-07,610
2020-04-08,470
2020-04-09,552
2020-04-10,601
2020-04-11,623
2020-04-12,401
2020-04-13,633
2020-04-14,337
2020-04-15,457
2020-04-16,362
2020-04-17,720
2020-04-18,371
2020-04-19,442
2020-04-20,410
2020-04-21,489
2020-04-22,157
2020-04-23,638
2020-04-24,498
2020-04-25,147
2020-04-26,416
2020-04-27,284
2020-04-28,314
2020-04-29,147
2020-04-30,192
2020-05-01,516
2020-05-02,356
2020-05-03,198
2020-05-04,388
2020-05-05,241
2020-05-06,208
2020-05-07,338
2020-05-08,90
2020-05-09,269
2020-05-10,244
2020-05-11,184
2020-05-12,309
2020-05-13,108
2020-05-14,333
2020-05-15,345
2020-05-16,423
2020-05-17,334
2020-05-18,285
2020-05-19,125
2020-05-20,130
2020-05-21,440
2020-05-22,221
2020-05-23,241
2020-05-24,199
2020-05-25,259
2020-05-26,166
2020-05-27,83
2020-05-28,216
2020-05-29,350
2020-05-30,277
2020-05-31,230
2020-06-01,212
2020-06-02,137
2020-06-03,323
2020-06-04,446
2020-06-05,387
2020-06-06,361
2020-06-07,362
2020-06-08,329
2020-06-09,335
2020-06-10,455
2020-06-11,415