Date,Cases per day
2020-03-01,2
2020-03-02,0
2020-03-03,1
2020-03-04,0
2020-03-05,1
2020-03-06,3
2020-03-07,5
2020-03-08,1
2020-03-09,1
2020-03-10,9
2020-03-11,3
2020-03-12,20
2020-03-13,24
2020-03-14,0
2020-03-15,39
2020-03-16,32
2020-03-17,69
2020-03-18,116
2020-03-19,108
2020-03-20,130
2020-03-21,200
2020-03-22,236
2020-03-23,222
2020-03-24,245
2020-03-25,498
2020-03-26,512
2020-03-27,721
2020-03-28,840
2020-03-29,904
2020-03-30,752
2020-03-31,1047
2020-04-01,1024
2020-04-02,1235
2020-04-03,1260
2020-04-04,1277
2020-04-05,805
2020-04-06,1279
2020-04-07,1118
2020-04-08,951
2020-04-09,1129
2020-04-10,1141
2020-04-11,1018
2020-04-12,877
2020-04-13,1156
2020-04-14,609
2020-04-15,906
2020-04-16,806
2020-04-17,1413
2020-04-18,739
2020-04-19,822
2020-04-20,744
2020-04-21,811
2020-04-22,440
2020-04-23,1339
2020-04-24,885
2020-04-25,306
2020-04-26,689
2020-04-27,610
2020-04-28,708
2020-04-29,347
2020-04-30,498
2020-05-01,1037
2020-05-02,735
2020-05-03,615
2020-05-04,819
2020-05-05,542
2020-05-06,563
2020-05-07,826
2020-05-08,371
2020-05-09,802
2020-05-10,595
2020-05-11,386
2020-05-12,941
2020-05-13,479
2020-05-14,808
2020-05-15,928
2020-05-16,673
2020-05-17,777
2020-05-18,854
2020-05-19,502
2020-05-20,527
2020-05-21,1204
2020-05-22,776
2020-05-23,676
2020-05-24,740
2020-05-25,879
2020-05-26,509
2020-05-27,379
2020-05-28,651
2020-05-29,1212
2020-05-30,927
2020-05-31,739
2020-06-01,667
2020-06-02,617
2020-06-03,1317
2020-06-04,1419
2020-06-05,1305
2020-06-06,1270
2020-06-07,1180
2020-06-08,966
2020-06-09,1096
2020-06-10,1371
2020-06-11,1698